Date,Time,League,Division,Type,Away_Team,Away_Score,Home_Team,Home_Score,Location
2025-11-08,00:05,5v5,Touch_Division_1_&_2,REGULAR,MennoKnights and the Frog,35,Polk High,44,WSF North - Garden City Complex (2)
2025-11-08,21:00,5v5,Touch_Division_3,REGULAR,Creamsicles,19,All black no cream,24,WSF South - U of M Complex (2)
2025-11-08,22:00,5v5,Touch_Division_3,REGULAR,Cream of the century,41,Peaches and cream,37,WSF South - U of M Complex (2)
2025-11-08,23:00,5v5,Touch_Division_1_&_2,REGULAR,Be Sexy,19,Big Baller Brand,41,WSF South - U of M Complex (2)
2025-11-09,00:00,5v5,Touch_Division_1_&_2,REGULAR,Sock Puppets,38,Seafood City,42,WSF South - U of M Complex (2)
2025-11-14,22:05,5v5,Touch_Division_4,REGULAR,Down 2 Football,21,Gym Class Heroes,12,WSF North - Garden City Complex (2)
2025-11-14,23:45,5v5,Touch_Division_4,REGULAR,Rifles,40,Andriys Dream Team,38,WSF South - U of M Complex (3)
2025-11-15,00:45,5v5,Touch_Division_3,REGULAR,All black no cream,38,Peaches and cream,16,WSF South - U of M Complex (4)
2025-11-15,19:45,5v5,Touch_Division_1_&_2,REGULAR,Sock Puppets,28,Big Baller Brand,49,WSF North - Garden City Complex (2)
2025-11-15,23:45,5v5,Touch_Division_1_&_2,REGULAR,Polk High,25,Seafood City,26,WSF North - Garden City Complex (2)
2025-11-15,23:45,5v5,Touch_Division_3,REGULAR,Cream of the century,46,Cream on your TDs,28,WSF North - Garden City Complex (4)
2025-11-22,00:05,5v5,Touch_Division_1_&_2,REGULAR,MennoKnights and the Frog,44,Big Baller Brand,53,WSF North - Garden City Complex (3)
2025-11-22,21:45,5v5,Touch_Division_4,REGULAR,Rouge Gods,24,Andriys Dream Team,39,WSF North - Garden City Complex (3)
2025-11-22,21:45,5v5,Touch_Division_4,REGULAR,Down 2 Football,38,God Hates Jags,32,WSF North - Garden City Complex (4)
2025-11-22,22:30,5v5,Touch_Division_4,REGULAR,Gym Class Heroes,20,Rifles,19,WSF South - U of M Complex (3)
2025-11-22,22:45,5v5,Touch_Division_1_&_2,REGULAR,Seafood City,33,Be Sexy,31,WSF North - Garden City Complex (3)
2025-11-22,23:45,5v5,Touch_Division_1_&_2,REGULAR,Sock Puppets,27,Polk High,43,WSF North - Garden City Complex (3)
2025-11-22,23:45,5v5,Touch_Division_3,REGULAR,Cream of the century,43,All black no cream,46,WSF North - Garden City Complex (1)
2025-11-28,22:45,5v5,Touch_Division_4,REGULAR,Rouge Gods,18,Gym Class Heroes,20,WSF South - U of M Complex (2)
2025-11-28,23:05,5v5,Touch_Division_1_&_2,REGULAR,MennoKnights and the Frog,27,Be Sexy,40,WSF North - Garden City Complex (2)
2025-11-29,00:05,5v5,Touch_Division_3,REGULAR,Cream of the century,21,Peaches and cream,8,WSF North - Garden City Complex (2)
2025-11-29,00:05,5v5,Touch_Division_3,REGULAR,Creamsicles,18,Cream on your TDs,45,WSF North - Garden City Complex (3)
2025-11-29,21:45,5v5,Touch_Division_4,REGULAR,Rifles,21,God Hates Jags,43,WSF North - Garden City Complex (4)
2025-11-29,22:45,5v5,Touch_Division_1_&_2,REGULAR,Sock Puppets,32,Seafood City,20,WSF North - Garden City Complex (3)
2025-11-29,23:45,5v5,Touch_Division_1_&_2,REGULAR,Be Sexy,33,Big Baller Brand,37,WSF North - Garden City Complex (2)
2025-12-06,00:45,5v5,Touch_Division_4,PLAYOFFS,Rouge Gods,19,Andriys Dream Team,45,WSF South - U of M Complex (2)
2025-12-06,00:45,5v5,Touch_Division_4,PLAYOFFS,God Hates Jags,18,Down 2 Football,54,WSF South - U of M Complex (3)
2025-12-06,21:45,5v5,Touch_Division_2,PLAYOFFS,Be Sexy,25,MennoKnights and the Frog,20,WSF North - Garden City Complex (3)
2025-12-06,23:45,5v5,Touch_Division_1,PLAYOFFS,Sock Puppets,33,Seafood City,39,WSF North - Garden City Complex (2)
2025-12-07,00:45,5v5,Touch_Division_3,PLAYOFFS,Cream of the century,25,Creamsicles,24,WSF North - Garden City Complex (1)
2025-12-07,00:45,5v5,Touch_Division_3,PLAYOFFS,Cream on your TDs,32,All black no cream,20,WSF North - Garden City Complex (2)
2025-12-13,00:05,5v5,Touch_Division_4,PLAYOFFS,Andriys Dream Team,26,Down 2 Football,33,WSF North - Garden City Complex (2)
2025-12-13,19:45,5v5,Touch_Division_2,PLAYOFFS,Be Sexy,32,Big Baller Brand,38,WSF North - Garden City Complex (2)
2025-12-13,20:45,5v5,Touch_Division_4,PLAYOFFS,Rifles,25,N/A,0,WSF North - Garden City Complex (2)
2025-12-13,21:45,5v5,Touch_Division_3,PLAYOFFS,Cream on your TDs,44,Cream of the century,59,WSF North - Garden City Complex (4)
2025-12-13,23:45,5v5,Touch_Division_1,PLAYOFFS,Seafood City,26,Polk High,39,WSF North - Garden City Complex (2)
